"filename", "language", "JSON", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\faculta\AN3Sem2\Licenta\Licenta\nodemon.json", "JSON", 5, 0, 0, 0, 0, 5
"d:\faculta\AN3Sem2\Licenta\Licenta\package-lock.json", "JSON", 2241, 0, 0, 0, 1, 2242
"d:\faculta\AN3Sem2\Licenta\Licenta\package.json", "JSON", 34, 0, 0, 0, 1, 35
"d:\faculta\AN3Sem2\Licenta\Licenta\src\db\events.ts", "TypeScript", 0, 0, 50, 0, 2, 52
"d:\faculta\AN3Sem2\Licenta\Licenta\src\db\requests.ts", "TypeScript", 0, 0, 34, 0, 7, 41
"d:\faculta\AN3Sem2\Licenta\Licenta\src\db\users.ts", "TypeScript", 0, 0, 45, 0, 10, 55
"d:\faculta\AN3Sem2\Licenta\Licenta\src\index.ts", "TypeScript", 0, 0, 60, 1, 8, 69
"d:\faculta\AN3Sem2\Licenta\Licenta\src\routes\event-routes.ts", "TypeScript", 0, 0, 147, 1, 13, 161
"d:\faculta\AN3Sem2\Licenta\Licenta\src\routes\request-routes.ts", "TypeScript", 0, 0, 134, 0, 15, 149
"d:\faculta\AN3Sem2\Licenta\Licenta\src\routes\user-routes.ts", "TypeScript", 0, 0, 107, 0, 23, 130
"d:\faculta\AN3Sem2\Licenta\Licenta\src\util\constants.ts", "TypeScript", 0, 0, 2, 0, 0, 2
"d:\faculta\AN3Sem2\Licenta\Licenta\src\util\methods.ts", "TypeScript", 0, 0, 19, 0, 3, 22
"d:\faculta\AN3Sem2\Licenta\Licenta\tsconfig.json", "JSON with Comments", 0, 11, 0, 90, 10, 111
"Total", "-", 2280, 11, 598, 92, 93, 3074
